Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
57,No,Travel_Rarely,584,Sales,5,2,Life Sciences,1,342,2,Female,84,4,2,Manager,3,Single,12824,14215,0,Y,No,15,1,2,80,3,24,3,3,26,24,5,23
50,No,Travel_Frequently,1013,Sales,12,3,Human Resources,1,343,4,Male,78,4,3,Sales Executive,1,Single,5866,6450,6,Y,No,13,2,2,80,1,38,3,4,29,27,0,26
26,No,Travel_Rarely,704,Research & Development,1,3,Life Sciences,1,344,3,Female,59,4,3,Research Director,4,Married,15222,13560,9,Y,No,14,3,3,80,1,33,2,3,20,18,2,18
60,No,Travel_Rarely,1183,Sales,29,2,Life Sciences,1,345,4,Female,64,4,2,Sales Representative,4,Single,3740,22341,5,Y,No,22,3,1,80,3,40,4,4,34,33,2,32
56,Yes,Travel_Rarely,1265,Research & Development,24,4,Life Sciences,1,346,4,Female,92,4,4,Laboratory Technician,4,Married,2345,15846,3,Y,Yes,14,3,3,80,3,8,0,3,6,5,5,5
46,No,Travel_Rarely,273,Research & Development,10,3,Other,1,347,4,Male,51,2,3,Research Scientist,2,Married,3493,8069,2,Y,Yes,18,4,3,80,0,32,3,4,21,21,2,20
59,No,Travel_Rarely,361,Sales,29,4,Marketing,1,348,3,Male,72,4,4,Sales Executive,1,Married,8187,10679,0,Y,No,20,3,2,80,3,4,2,3,9,5,4,3
43,No,Travel_Rarely,126,Research & Development,5,3,Technical Degree,1,349,3,Male,57,2,3,Research Director,3,Divorced,10549,15293,3,Y,Yes,20,3,4,80,2,23,3,3,22,22,5,22
52,No,Travel_Rarely,299,Research & Development,19,3,Human Resources,1,350,4,Female,47,4,3,Manufacturing Director,4,Married,8726,2278,1,Y,No,23,3,3,80,0,26,2,3,14,11,4,9
42,No,Non-Travel,680,Research & Development,19,3,Human Resources,1,351,4,Female,61,2,3,Manufacturing Director,3,Single,7538,4591,2,Y,No,13,3,4,80,0,35,3,4,29,27,4,27
41,No,Travel_Rarely,524,Sales,20,5,Technical Degree,1,352,1,Female,98,2,5,Manager,3,Married,13638,27225,1,Y,No,11,3,4,80,1,40,0,3,33,32,2,30
30,No,Non-Travel,1243,Research & Development,12,1,Life Sciences,1,353,3,Male,83,2,1,Laboratory Technician,4,Divorced,3322,29554,1,Y,No,15,3,2,80,1,7,2,3,12,8,2,6
24,No,Travel_Frequently,893,Sales,23,4,Other,1,354,2,Female,63,2,4,Sales Representative,2,Married,3507,2354,1,Y,No,12,4,3,80,2,12,4,2,3,0,3,0
53,No,Travel_Frequently,107,Research & Development,16,3,Life Sciences,1,355,4,Female,60,3,3,Laboratory Technician,3,Single,4311,17678,4,Y,No,23,3,3,80,0,18,2,4,17,16,0,16
37,No,Travel_Frequently,1222,Research & Development,5,5,Technical Degree,1,356,2,Male,33,4,5,Manager,3,Divorced,17784,20626,1,Y,No,21,3,4,80,2,33,1,3,22,22,8,21
18,No,Travel_Rarely,173,Human Resources,17,4,Marketing,1,357,3,Female,43,3,4,Manager,1,Married,10147,6899,1,Y,No,23,3,4,80,2,29,2,3,32,28,7,26
25,No,Travel_Rarely,1030,Research & Development,14,3,Technical Degree,1,358,4,Male,44,4,3,Laboratory Technician,2,Single,3488,8236,1,Y,No,25,2,3,80,1,38,5,4,33,33,2,33
33,No,Travel_Rarely,533,Human Resources,12,4,Medical,1,359,4,Male,89,2,4,Manager,4,Single,7611,20864,0,Y,No,24,3,1,80,3,33,1,4,33,32,3,30
31,No,Travel_Rarely,1064,Research & Development,13,2,Marketing,1,360,4,Female,49,3,2,Research Director,4,Single,15478,2557,5,Y,Yes,16,3,3,80,2,35,1,3,35,35,10,33
29,No,Travel_Rarely,481,Human Resources,21,5,Human Resources,1,361,2,Male,49,2,5,Manager,2,Divorced,4888,15338,2,Y,Yes,14,3,4,80,0,40,3,4,34,32,1,30
40,Yes,Travel_Frequently,651,Research & Development,14,3,Life Sciences,1,362,3,Female,78,2,3,Research Scientist,2,Single,6771,5486,0,Y,No,19,3,4,80,2,17,2,3,16,15,5,13
32,No,Travel_Rarely,909,Research & Development,5,3,Life Sciences,1,363,4,Female,97,2,3,Research Scientist,1,Single,4626,18545,1,Y,No,17,4,4,80,3,32,2,2,27,26,0,25
45,No,Travel_Rarely,157,Research & Development,22,4,Marketing,1,364,4,Male,47,3,4,Manager,4,Divorced,13506,24628,8,Y,No,12,3,4,80,0,24,4,4,13,9,3,7
51,No,Travel_Rarely,716,Research & Development,23,4,Human Resources,1,365,4,Male,53,2,4,Research Director,3,Married,9502,19082,2,Y,No,17,4,1,80,3,40,1,4,33,29,8,28
19,No,Travel_Rarely,1228,Research & Development,5,3,Life Sciences,1,366,4,Male,56,4,3,Research Scientist,4,Single,4541,12165,1,Y,Yes,20,3,4,80,0,23,3,3,10,6,3,4
49,No,Travel_Rarely,317,Research & Development,29,4,Life Sciences,1,367,3,Male,62,3,4,Research Director,4,Single,11764,5544,1,Y,No,24,3,4,80,1,14,3,2,12,10,4,10
40,No,Travel_Rarely,122,Research & Development,27,3,Life Sciences,1,368,4,Male,93,4,3,Research Director,3,Single,5090,22161,1,Y,No,18,2,2,80,2,40,5,3,32,30,9,28
39,No,Travel_Frequently,311,Research & Development,18,3,Life Sciences,1,369,2,Male,54,4,3,Manager,1,Single,9652,4205,0,Y,No,13,1,2,80,2,3,5,4,1,0,5,0
42,No,Travel_Rarely,392,Research & Development,14,4,Other,1,370,3,Male,98,4,4,Research Director,3,Married,7464,18875,4,Y,No,13,2,3,80,2,38,2,4,33,32,5,32
39,No,Travel_Rarely,816,Sales,18,3,Technical Degree,1,371,4,Male,47,4,3,Sales Representative,1,Single,3402,20376,1,Y,No,21,3,4,80,1,25,3,3,28,24,4,24
39,No,Travel_Rarely,936,Research & Development,29,3,Marketing,1,372,1,Male,74,2,3,Research Director,2,Single,10013,19416,4,Y,No,12,1,3,80,2,40,3,4,36,35,4,33
59,Yes,Non-Travel,289,Research & Development,20,4,Medical,1,373,3,Female,49,4,4,Manager,2,Married,14225,21667,2,Y,No,22,3,2,80,2,6,2,3,3,3,6,1
23,No,Travel_Rarely,1276,Research & Development,1,2,Technical Degree,1,374,2,Female,64,3,2,Manager,3,Married,12593,24400,0,Y,No,25,3,3,80,1,6,2,4,11,9,12,8
32,No,Travel_Frequently,292,Sales,7,4,Life Sciences,1,375,2,Male,35,3,4,Manager,3,Married,15810,6919,4,Y,No,11,3,3,80,1,20,5,2,25,22,6,22
60,No,Non-Travel,508,Research & Development,29,3,Medical,1,376,4,Male,38,4,3,Manager,2,Married,9335,14966,1,Y,Yes,13,1,3,80,2,33,2,3,27,27,5,27
54,No,Travel_Rarely,315,Sales,17,1,Medical,1,377,4,Female,81,4,1,Sales Executive,3,Single,7122,24358,3,Y,No,20,3,3,80,0,7,0,3,2,1,0,0
50,No,Travel_Rarely,655,Human Resources,3,2,Life Sciences,1,378,2,Female,57,4,2,Manager,2,Married,15993,27361,4,Y,No,22,3,4,80,1,14,4,4,19,17,7,15
25,No,Travel_Rarely,1061,Sales,10,4,Medical,1,379,3,Female,48,2,4,Sales Executive,4,Married,8909,20217,7,Y,No,21,3,3,80,0,23,3,3,9,5,5,3
22,Yes,Travel_Rarely,1319,Research & Development,7,4,Life Sciences,1,380,3,Female,92,3,4,Manufacturing Director,3,Married,4448,2991,0,Y,No,17,2,4,80,2,23,1,3,17,17,6,17
56,No,Travel_Frequently,1375,Research & Development,27,1,Life Sciences,1,381,2,Male,36,4,1,Laboratory Technician,2,Divorced,2427,14398,0,Y,No,21,4,4,80,0,37,0,4,26,24,1,23
21,No,Travel_Rarely,694,Sales,28,1,Life Sciences,1,382,4,Male,66,4,1,Sales Executive,3,Single,6828,25368,2,Y,No,19,3,3,80,1,39,2,3,30,29,9,27
23,No,Non-Travel,142,Research & Development,12,5,Technical Degree,1,383,3,Male,65,1,5,Manufacturing Director,3,Divorced,7436,24730,1,Y,No,24,3,3,80,0,22,5,3,26,25,0,25
49,No,Travel_Rarely,471,Research & Development,22,2,Life Sciences,1,384,4,Male,46,3,2,Laboratory Technician,1,Single,3431,20167,2,Y,No,19,3,3,80,0,12,5,3,0,0,1,0
47,No,Travel_Rarely,121,Research & Development,15,5,Human Resources,1,385,2,Male,66,4,5,Research Scientist,2,Divorced,5574,23568,0,Y,Yes,23,4,3,80,1,15,2,4,5,5,4,3
52,No,Travel_Rarely,1134,Sales,23,3,Life Sciences,1,386,3,Male,89,4,3,Sales Executive,4,Married,7607,19568,2,Y,No,16,3,4,80,1,8,4,3,10,10,5,8
57,Yes,Travel_Rarely,926,Research & Development,21,4,Technical Degree,1,387,1,Male,78,3,4,Research Scientist,1,Divorced,4969,29037,0,Y,Yes,24,4,4,80,1,35,2,2,33,30,2,30
33,Yes,Travel_Rarely,1328,Sales,16,3,Other,1,388,2,Female,85,4,3,Sales Representative,3,Single,3603,3668,4,Y,Yes,25,3,3,80,0,34,3,3,38,34,5,33
30,No,Travel_Rarely,119,Research & Development,8,5,Human Resources,1,389,4,Female,63,3,5,Laboratory Technician,4,Married,4627,8833,3,Y,No,16,1,4,80,3,27,2,4,19,17,2,16
59,No,Travel_Rarely,849,Research & Development,6,4,Other,1,390,2,Male,59,4,4,Manufacturing Director,2,Married,1009,7824,0,Y,No,21,3,4,80,0,29,3,2,20,19,0,17
47,No,Non-Travel,420,Research & Development,28,3,Life Sciences,1,391,1,Female,56,3,3,Research Director,2,Married,8840,28889,4,Y,Yes,15,3,4,80,3,23,2,3,20,19,1,18
36,No,Travel_Rarely,962,Research & Development,4,2,Medical,1,392,4,Male,80,3,2,Research Scientist,4,Married,3307,2571,1,Y,No,25,2,2,80,2,13,1,3,17,13,8,11
34,No,Travel_Rarely,1069,Human Resources,11,4,Medical,1,393,3,Female,38,4,4,Human Resources,2,Married,6284,6300,1,Y,No,12,3,4,80,0,31,1,2,20,20,1,20
36,No,Travel_Rarely,1407,Sales,17,4,Life Sciences,1,394,2,Male,49,1,4,Sales Executive,3,Married,6029,22122,0,Y,Yes,17,3,3,80,1,22,2,3,18,18,0,18
45,No,Travel_Frequently,353,Sales,2,1,Life Sciences,1,395,4,Female,76,4,1,Manager,4,Single,12273,2583,4,Y,No,11,1,4,80,3,6,5,4,3,2,5,2
43,No,Travel_Rarely,441,Research & Development,28,1,Other,1,396,2,Female,48,4,1,Research Director,4,Married,12556,25707,1,Y,No,16,3,2,80,1,8,5,1,12,8,2,6
54,No,Travel_Rarely,852,Sales,6,4,Medical,1,397,4,Male,97,4,4,Manager,4,Single,9829,28796,0,Y,No,24,3,4,80,0,30,4,4,17,16,6,15
43,No,Non-Travel,1069,Research & Development,4,3,Marketing,1,398,1,Male,41,3,3,Research Scientist,4,Divorced,4989,26883,7,Y,No,14,3,3,80,1,39,2,4,28,28,8,28
40,No,Non-Travel,563,Research & Development,3,4,Human Resources,1,399,3,Male,34,4,4,Laboratory Technician,3,Married,5131,26637,1,Y,No,13,1,4,80,1,29,2,3,24,22,7,20
26,No,Travel_Rarely,732,Research & Development,7,3,Marketing,1,400,3,Male,98,4,3,Manager,4,Divorced,14993,25924,6,Y,No,25,3,4,80,2,23,2,3,12,12,2,11
29,No,Non-Travel,502,Research & Development,7,5,Technical Degree,1,401,2,Male,54,4,5,Research Scientist,4,Single,2359,23963,1,Y,No,21,1,2,80,3,30,2,4,26,24,3,23
18,No,Travel_Rarely,472,Sales,16,5,Technical Degree,1,402,3,Female,60,3,5,Manager,4,Divorced,10949,6570,4,Y,No,23,3,2,80,0,30,0,4,18,15,4,14
18,No,Travel_Frequently,383,Human Resources,2,5,Life Sciences,1,403,3,Male,75,3,5,Manager,4,Divorced,13280,17740,3,Y,No,11,3,4,80,0,0,3,2,0,0,2,0
51,No,Travel_Rarely,491,Research & Development,8,2,Medical,1,404,4,Female,63,3,2,Laboratory Technician,2,Married,4080,7691,5,Y,No,24,4,3,80,0,40,1,3,37,34,0,32
49,No,Travel_Rarely,438,Sales,15,5,Human Resources,1,405,4,Female,70,3,5,Sales Representative,3,Married,2772,12325,7,Y,Yes,16,2,3,80,3,30,4,3,18,18,3,16
42,Yes,Non-Travel,1470,Research & Development,27,3,Human Resources,1,406,3,Male,97,4,3,Manager,1,Single,9696,20343,5,Y,Yes,23,2,4,80,1,14,3,3,0,0,0,0
57,No,Travel_Rarely,374,Research & Development,16,4,Other,1,407,3,Male,67,3,4,Manager,2,Divorced,12243,17502,1,Y,No,17,3,4,80,3,40,2,3,39,39,11,37
18,Yes,Travel_Rarely,1378,Research & Development,1,3,Medical,1,408,3,Male,75,4,3,Laboratory Technician,1,Married,2358,26414,4,Y,No,21,3,2,80,1,11,3,4,16,12,6,12
33,No,Travel_Rarely,1121,Research & Development,27,1,Other,1,409,4,Female,98,3,1,Laboratory Technician,4,Single,4654,7126,3,Y,Yes,11,3,3,80,2,17,2,3,20,16,1,16
56,No,Travel_Rarely,741,Research & Development,10,5,Life Sciences,1,410,3,Male,56,1,5,Research Director,2,Single,15606,28608,0,Y,No,21,4,4,80,0,30,2,4,21,21,1,21
22,No,Travel_Rarely,1499,Research & Development,7,2,Life Sciences,1,411,3,Female,72,1,2,Laboratory Technician,3,Divorced,3914,5762,6,Y,Yes,11,4,4,80,3,28,2,4,14,14,13,12
39,No,Travel_Rarely,919,Sales,16,4,Medical,1,412,3,Female,74,4,4,Manager,3,Divorced,11163,4786,2,Y,Yes,17,3,2,80,1,40,4,2,38,34,2,34
46,No,Non-Travel,107,Sales,10,4,Medical,1,413,4,Male,47,3,4,Manager,1,Divorced,15387,3542,0,Y,Yes,21,3,2,80,2,37,2,4,38,34,6,32
20,Yes,Travel_Rarely,687,Research & Development,12,4,Life Sciences,1,414,3,Male,61,3,4,Research Scientist,3,Married,5542,20059,1,Y,No,22,4,2,80,0,40,3,3,31,31,2,29
29,No,Travel_Frequently,1181,Sales,17,2,Medical,1,415,2,Female,31,4,2,Sales Representative,3,Single,2752,14813,2,Y,No,16,2,4,80,2,11,2,3,3,3,8,3
43,No,Travel_Rarely,923,Research & Development,13,3,Life Sciences,1,416,3,Female,70,3,3,Manager,4,Single,11827,18417,2,Y,Yes,17,3,3,80,1,40,2,3,31,30,5,30
33,No,Travel_Rarely,339,Research & Development,12,4,Medical,1,417,4,Male,49,4,4,Manufacturing Director,1,Single,6537,18294,2,Y,No,25,3,3,80,0,7,2,3,3,2,0,2
54,No,Travel_Rarely,591,Sales,15,3,Technical Degree,1,418,4,Male,87,4,3,Sales Executive,2,Single,7345,4799,1,Y,Yes,23,3,1,80,1,3,3,3,0,0,1,0
39,No,Travel_Frequently,1147,Research & Development,14,3,Marketing,1,419,4,Female,67,1,3,Manufacturing Director,3,Married,8717,25880,2,Y,No,18,4,1,80,1,38,3,4,32,29,3,27
46,No,Travel_Rarely,542,Research & Development,19,3,Life Sciences,1,420,4,Male,30,4,3,Laboratory Technician,1,Single,2680,20239,5,Y,Yes,18,3,4,80,0,7,3,4,6,2,9,2
31,No,Travel_Rarely,1166,Research & Development,19,3,Medical,1,421,3,Female,98,4,3,Research Scientist,2,Married,3049,13872,1,Y,No,19,3,3,80,0,7,2,3,8,6,0,6
45,Yes,Travel_Rarely,959,Research & Development,26,5,Technical Degree,1,422,3,Male,83,3,5,Manager,2,Divorced,7226,8923,2,Y,No,23,4,3,80,1,4,0,4,0,0,4,0
22,No,Non-Travel,359,Sales,14,3,Medical,1,423,4,Male,43,3,3,Sales Representative,3,Married,3374,4685,1,Y,No,19,3,2,80,0,17,3,1,15,11,2,11
47,Yes,Travel_Rarely,149,Research & Development,18,4,Medical,1,424,2,Female,54,4,4,Manufacturing Director,2,Divorced,7972,19441,0,Y,Yes,17,4,3,80,1,31,1,2,17,15,8,14
22,Yes,Travel_Rarely,604,Research & Development,26,3,Marketing,1,425,3,Male,38,4,3,Research Director,3,Married,9749,8938,2,Y,Yes,19,3,4,80,1,15,2,2,5,4,6,3
29,No,Non-Travel,240,Research & Development,29,3,Human Resources,1,426,4,Male,90,3,3,Laboratory Technician,4,Single,3987,22885,0,Y,No,16,3,2,80,0,7,2,3,1,0,2,0
33,No,Travel_Rarely,1327,Sales,5,1,Life Sciences,1,427,4,Male,81,2,1,Sales Executive,4,Married,5107,25981,3,Y,No,19,3,4,80,0,11,3,2,8,8,1,6
43,No,Non-Travel,610,Research & Development,20,3,Medical,1,428,4,Male,37,4,3,Laboratory Technician,2,Single,2376,8571,3,Y,No,21,3,2,80,2,7,3,3,3,3,0,2
43,No,Non-Travel,755,Sales,29,3,Medical,1,429,4,Female,45,2,3,Sales Executive,3,Married,7506,13153,1,Y,No,12,3,2,80,0,32,1,3,22,18,4,17
38,No,Travel_Rarely,1411,Research & Development,6,4,Marketing,1,430,2,Male,37,4,4,Research Director,2,Married,4813,6388,1,Y,No,21,2,3,80,2,11,3,3,7,4,2,4
56,No,Travel_Rarely,1358,Research & Development,18,3,Life Sciences,1,431,4,Male,52,4,3,Laboratory Technician,1,Single,3228,8022,6,Y,No,12,4,4,80,1,40,3,4,38,37,2,36
53,No,Travel_Rarely,1441,Research & Development,14,3,Life Sciences,1,432,1,Female,63,3,3,Manufacturing Director,2,Single,13919,4627,0,Y,No,24,4,3,80,3,21,2,4,24,20,13,20
50,Yes,Non-Travel,562,Research & Development,4,3,Life Sciences,1,433,4,Female,47,2,3,Laboratory Technician,3,Married,2084,22204,2,Y,Yes,16,3,4,80,0,28,2,4,15,14,3,12
47,No,Travel_Rarely,771,Research & Development,28,3,Human Resources,1,434,2,Male,73,4,3,Laboratory Technician,3,Divorced,3048,9247,6,Y,No,13,4,3,80,2,39,3,3,34,34,5,34
54,No,Travel_Frequently,1446,Research & Development,23,5,Technical Degree,1,435,3,Male,44,3,5,Laboratory Technician,4,Divorced,1270,13349,6,Y,No,12,4,2,80,1,16,3,4,16,13,1,11
40,No,Travel_Rarely,1300,Sales,1,3,Marketing,1,436,4,Female,44,3,3,Sales Executive,4,Married,6509,5643,2,Y,No,18,3,2,80,0,17,1,4,17,14,0,13
27,Yes,Travel_Rarely,1164,Research & Development,13,1,Other,1,437,2,Female,52,4,1,Research Director,1,Single,15899,24575,1,Y,Yes,17,3,4,80,0,35,3,4,26,26,2,25
22,Yes,Travel_Rarely,534,Sales,11,1,Life Sciences,1,438,4,Male,94,4,1,Sales Representative,3,Divorced,3420,22146,0,Y,No,18,4,2,80,1,23,2,2,14,12,4,11
53,No,Travel_Rarely,586,Research & Development,3,5,Other,1,439,2,Male,61,4,5,Research Director,1,Divorced,8158,24371,0,Y,No,16,3,4,80,0,23,4,3,16,13,3,13
51,No,Travel_Rarely,1183,Research & Development,17,3,Marketing,1,440,1,Male,61,3,3,Manager,3,Married,19853,28707,3,Y,No,19,2,4,80,1,3,1,3,4,2,8,0
48,No,Travel_Rarely,597,Research & Development,18,4,Medical,1,441,3,Female,62,4,4,Manufacturing Director,1,Divorced,3818,10798,0,Y,Yes,19,3,2,80,3,23,2,3,15,14,2,12
27,No,Travel_Rarely,976,Sales,25,2,Other,1,442,3,Female,72,2,2,Sales Representative,4,Married,3408,20739,5,Y,No,12,3,3,80,1,10,3,3,14,11,2,9
36,Yes,Travel_Rarely,702,Research & Development,10,5,Technical Degree,1,443,2,Female,42,4,5,Laboratory Technician,4,Divorced,3568,28875,2,Y,Yes,20,4,2,80,1,39,2,4,33,33,9,31
49,No,Travel_Rarely,1259,Research & Development,16,5,Other,1,444,3,Female,38,4,5,Manufacturing Director,1,Divorced,7407,15792,0,Y,No,15,3,2,80,2,32,2,4,18,16,2,14
18,No,Travel_Rarely,756,Research & Development,21,4,Life Sciences,1,445,4,Female,91,4,4,Manager,4,Single,14905,14467,1,Y,No,19,4,2,80,2,15,3,1,7,6,1,6
22,No,Travel_Rarely,708,Research & Development,13,1,Human Resources,1,446,2,Male,86,4,1,Research Director,3,Married,6454,17955,2,Y,No,13,3,3,80,0,22,3,3,9,8,0,6
21,No,Travel_Rarely,257,Research & Development,20,3,Human Resources,1,447,3,Male,77,3,3,Laboratory Technician,3,Divorced,3828,19717,0,Y,No,15,3,4,80,2,18,3,3,4,1,6,0
33,No,Travel_Frequently,302,Research & Development,12,3,Medical,1,448,4,Male,72,4,3,Research Scientist,3,Single,4750,22392,4,Y,No,25,3,4,80,1,34,1,2,25,22,7,20
41,No,Travel_Rarely,1123,Research & Development,4,3,Life Sciences,1,449,3,Male,96,4,3,Research Scientist,3,Married,3324,20857,6,Y,No,18,2,4,80,0,35,3,2,21,17,0,16
33,No,Non-Travel,600,Research & Development,8,3,Life Sciences,1,450,3,Female,61,4,3,Manufacturing Director,4,Divorced,12679,8143,7,Y,Yes,12,3,2,80,0,33,2,4,22,18,2,18
19,No,Travel_Rarely,589,Sales,12,1,Human Resources,1,451,4,Male,89,3,1,Sales Executive,4,Married,6618,5733,3,Y,No,25,4,3,80,0,20,0,3,12,9,5,9
45,No,Travel_Frequently,261,Research & Development,19,4,Medical,1,452,4,Male,30,4,4,Manufacturing Director,3,Single,7667,20470,5,Y,No,16,3,3,80,1,20,2,4,8,4,10,3
49,No,Travel_Rarely,1336,Research & Development,15,3,Medical,1,453,4,Male,86,3,3,Manager,4,Married,8300,21734,2,Y,Yes,21,4,2,80,0,18,0,4,19,19,2,17
44,No,Travel_Rarely,1195,Research & Development,28,3,Life Sciences,1,454,4,Male,98,4,3,Manufacturing Director,4,Single,7607,15103,2,Y,No,14,3,2,80,1,33,2,4,27,27,8,27
37,Yes,Travel_Rarely,932,Research & Development,16,1,Life Sciences,1,455,1,Male,98,1,1,Manufacturing Director,2,Married,13603,16960,3,Y,Yes,22,3,3,80,1,40,2,1,36,32,2,32
41,No,Travel_Rarely,1073,Research & Development,12,5,Marketing,1,456,4,Male,97,4,5,Manufacturing Director,1,Single,7393,26951,1,Y,Yes,25,3,4,80,2,25,6,2,23,20,1,20
29,No,Travel_Rarely,1439,Research & Development,20,3,Medical,1,457,4,Female,90,4,3,Laboratory Technician,4,Married,4044,3952,0,Y,No,25,3,4,80,1,32,4,3,32,32,0,30
52,No,Travel_Rarely,532,Research & Development,18,4,Human Resources,1,458,4,Male,37,3,4,Manufacturing Director,4,Married,10281,5710,3,Y,No,24,3,2,80,2,28,4,2,19,18,2,17
50,No,Travel_Rarely,1292,Research & Development,22,3,Marketing,1,459,3,Female,36,4,3,Manufacturing Director,1,Married,7564,28664,7,Y,No,22,3,4,80,3,35,3,3,29,26,2,25
50,No,Travel_Rarely,1444,Research & Development,12,1,Technical Degree,1,460,4,Male,66,3,1,Laboratory Technician,3,Married,3069,20077,2,Y,No,16,2,4,80,3,8,4,4,8,6,10,4
60,No,Travel_Frequently,218,Research & Development,16,3,Life Sciences,1,461,2,Male,71,4,3,Laboratory Technician,1,Married,3995,16029,2,Y,No,13,3,3,80,3,22,2,4,16,14,1,14
54,No,Travel_Rarely,798,Sales,25,3,Life Sciences,1,462,4,Male,61,4,3,Sales Executive,4,Married,6493,13747,2,Y,Yes,16,3,2,80,0,40,3,4,35,32,2,30
29,No,Travel_Rarely,304,Research & Development,28,4,Medical,1,463,2,Male,46,2,4,Research Director,4,Single,9004,14472,2,Y,Yes,17,3,4,80,0,19,2,3,13,9,0,7
20,No,Travel_Rarely,1287,Research & Development,20,4,Life Sciences,1,464,4,Female,57,3,4,Research Scientist,3,Married,5768,26647,1,Y,No,20,3,4,80,1,21,1,3,18,18,6,17
18,No,Travel_Rarely,1063,Research & Development,11,3,Life Sciences,1,465,3,Male,99,4,3,Research Scientist,3,Single,4406,3774,6,Y,No,13,3,4,80,1,19,1,3,6,6,9,4
50,No,Travel_Rarely,563,Research & Development,22,5,Human Resources,1,466,1,Male,77,3,5,Manufacturing Director,4,Divorced,10911,18957,2,Y,No,15,4,3,80,0,0,3,3,2,0,1,0
57,No,Travel_Rarely,1045,Research & Development,20,3,Medical,1,467,4,Female,83,4,3,Manager,2,Single,11669,24869,0,Y,No,23,4,3,80,0,39,1,4,32,31,2,31
27,No,Travel_Rarely,801,Research & Development,14,5,Life Sciences,1,468,3,Male,71,4,5,Manufacturing Director,4,Married,4838,6664,3,Y,Yes,22,3,2,80,3,38,3,1,31,27,0,27
60,No,Travel_Rarely,302,Sales,2,5,Life Sciences,1,469,4,Male,65,3,5,Sales Executive,3,Married,1009,7059,1,Y,No,18,3,4,80,0,12,5,3,10,9,3,8
46,No,Travel_Rarely,1356,Research & Development,13,3,Life Sciences,1,470,2,Female,95,4,3,Laboratory Technician,3,Married,1569,23746,3,Y,No,25,3,2,80,1,8,1,4,1,0,0,0
30,No,Non-Travel,617,Research & Development,14,3,Human Resources,1,471,4,Female,60,3,3,Research Director,3,Single,5002,22450,2,Y,No,12,2,1,80,0,23,2,2,25,22,3,20
29,No,Non-Travel,1331,Research & Development,6,3,Life Sciences,1,472,3,Male,94,3,3,Manager,3,Married,12959,8471,3,Y,Yes,17,3,3,80,2,3,3,4,3,2,5,0
48,No,Travel_Rarely,1456,Research & Development,12,4,Medical,1,473,3,Female,32,2,4,Laboratory Technician,4,Married,2480,24497,0,Y,No,23,3,3,80,1,16,2,1,16,14,3,12
19,No,Travel_Rarely,707,Research & Development,7,3,Marketing,1,474,3,Female,42,3,3,Research Director,4,Married,4077,16293,0,Y,Yes,11,3,2,80,0,22,5,4,16,13,1,12
52,No,Travel_Rarely,845,Sales,4,5,Life Sciences,1,475,4,Male,60,4,5,Sales Executive,4,Married,6725,10344,1,Y,No,17,3,3,80,3,33,4,3,27,23,2,23
40,Yes,Travel_Rarely,976,Research & Development,28,4,Life Sciences,1,476,4,Female,58,4,4,Manager,2,Married,8105,23758,3,Y,Yes,11,3,3,80,2,40,1,2,29,28,4,26
34,No,Travel_Rarely,448,Sales,27,3,Life Sciences,1,477,3,Male,86,4,3,Sales Executive,2,Married,7972,10920,1,Y,No,14,2,3,80,2,40,0,2,39,37,4,37
43,No,Travel_Rarely,450,Sales,7,2,Life Sciences,1,478,3,Male,62,4,2,Sales Representative,3,Married,3394,15735,1,Y,No,25,4,1,80,3,31,5,4,22,21,0,21
25,No,Travel_Rarely,1285,Sales,13,4,Life Sciences,1,479,3,Male,82,3,4,Sales Executive,4,Married,8142,12471,8,Y,No,14,4,3,80,1,34,5,4,23,21,7,21
46,No,Travel_Frequently,1377,Research & Development,11,2,Life Sciences,1,480,4,Male,39,3,2,Manager,3,Married,2790,11744,1,Y,No,22,4,2,80,2,32,2,3,28,26,3,26
43,No,Travel_Frequently,1347,Research & Development,8,4,Technical Degree,1,481,4,Female,92,4,4,Research Director,4,Single,10136,5663,4,Y,Yes,15,3,2,80,0,17,1,4,3,0,1,0
27,No,Non-Travel,959,Research & Development,27,3,Life Sciences,1,482,3,Male,94,4,3,Research Scientist,4,Single,4336,14463,4,Y,No,12,2,4,80,2,37,3,4,37,34,0,33
43,Yes,Travel_Rarely,495,Research & Development,19,3,Technical Degree,1,483,3,Female,31,3,3,Manufacturing Director,3,Single,5068,18378,5,Y,No,24,2,3,80,0,31,2,1,28,26,11,25
51,No,Non-Travel,1095,Research & Development,2,1,Technical Degree,1,484,3,Female,31,4,1,Research Scientist,4,Single,1614,25078,6,Y,No,24,3,2,80,0,27,5,4,18,15,1,13
58,No,Travel_Rarely,1079,Sales,21,4,Medical,1,485,4,Male,98,3,4,Manager,4,Married,11608,8141,2,Y,No,22,3,3,80,1,36,4,3,26,22,9,20
